prop_budget,method,seed,width,coverage
0.0100,wor-uniform,718,0.031205177307128906,0.0
0.0100,wor-uniform,719,0.03079545497894287,0.0
0.0100,wor-uniform,720,0.04950308799743652,0.0
0.0100,wor-uniform,721,0.03689169883728027,0.0
0.0100,wor-uniform,722,0.01923966407775879,0.0
0.0100,wor-uniform,723,0.015948235988616943,0.0
0.0100,wor-uniform,724,0.026133060455322266,0.0
0.0100,wor-uniform,725,0.04938936233520508,0.0
0.0100,wor-uniform,726,0.06085705757141113,0.0
0.0100,wor-uniform,727,0.02716994285583496,0.0
0.0100,wor-uniform,728,0.028260231018066406,0.0
0.0100,wor-uniform,729,0.03675985336303711,0.0
0.0100,wor-uniform,730,0.027151823043823242,0.0
0.0100,wor-uniform,731,0.0706024169921875,0.0
0.0100,wor-uniform,732,0.03253507614135742,0.0
0.0100,wor-uniform,733,0.06732845306396484,0.0
0.0100,wor-uniform,734,0.026348114013671875,0.0
0.0100,wor-uniform,735,0.07029557228088379,0.0
0.0100,wor-uniform,736,0.05763983726501465,0.0
0.0100,wor-uniform,737,0.05611228942871094,0.0
0.0100,wor-uniform,738,0.02210688591003418,0.0
0.0100,wor-uniform,739,0.03792095184326172,0.0
0.0100,wor-uniform,740,0.02247166633605957,0.0
0.0100,wor-uniform,741,0.03693258762359619,0.0
0.0100,wor-uniform,742,0.021953105926513672,0.0
0.0100,wor-uniform,743,0.0237429141998291,0.0
0.0100,wor-uniform,744,0.035857439041137695,0.0
0.0100,wor-uniform,745,0.08088302612304688,0.0
0.0100,wor-uniform,746,0.020846009254455566,0.0
0.0100,wor-uniform,747,0.045749664306640625,0.0
0.0100,wor-uniform,748,0.04085731506347656,1.0
0.0100,wor-uniform,749,0.04536175727844238,0.0
0.0100,wor-uniform,750,0.03107321262359619,0.0
0.0100,wor-uniform,751,0.03738713264465332,0.0
0.0100,wor-uniform,752,0.07526659965515137,0.0
0.0100,wor-uniform,753,0.08309507369995117,0.0
0.0100,wor-uniform,754,0.07433032989501953,0.0
0.0100,wor-uniform,755,0.05797934532165527,0.0
0.0100,wor-uniform,756,0.05650830268859863,0.0
0.0100,wor-uniform,757,0.04065418243408203,0.0
0.0100,wor-uniform,758,0.029072046279907227,0.0
0.0100,wor-uniform,759,0.03896164894104004,0.0
0.0100,wor-uniform,760,0.026168465614318848,0.0
0.0100,wor-uniform,761,0.04621481895446777,0.0
0.0100,wor-uniform,762,0.03166615962982178,0.0
0.0100,wor-uniform,763,0.09158658981323242,0.0
0.0100,wor-uniform,764,0.029496192932128906,0.0
0.0100,wor-uniform,765,0.02897787094116211,0.0
0.0100,wor-uniform,766,0.024759888648986816,0.0
0.0100,wor-uniform,767,0.0355374813079834,0.0
0.0100,wor-uniform,768,0.022319674491882324,0.0
0.0100,wor-uniform,769,0.029325366020202637,0.0
0.0100,wor-uniform,770,0.0217130184173584,0.0
0.0100,wor-uniform,771,0.0323023796081543,0.0
0.0100,wor-uniform,772,0.03617525100708008,0.0
