prop_budget,method,seed,width,coverage
0.0100,bernoulli-active,636,2.764873504638672,1.0
0.0100,bernoulli-active,637,2.0445356369018555,1.0
0.0100,bernoulli-active,638,2.912543535232544,1.0
0.0100,bernoulli-active,639,1.6265501976013184,1.0
0.0100,bernoulli-active,640,1.5684860944747925,1.0
0.0100,bernoulli-active,641,2.655233860015869,0.0
0.0100,bernoulli-active,642,2.2610068321228027,1.0
0.0100,bernoulli-active,643,2.2336368560791016,1.0
0.0100,bernoulli-active,644,2.884571075439453,1.0
0.0100,bernoulli-active,645,2.7541608810424805,1.0
0.0100,bernoulli-active,646,3.161903142929077,1.0
0.0100,bernoulli-active,647,3.5786752700805664,1.0
0.0100,bernoulli-active,648,4.023468971252441,1.0
0.0100,bernoulli-active,649,2.0985732078552246,1.0
0.0100,bernoulli-active,650,1.989211916923523,1.0
0.0100,bernoulli-active,651,2.7850546836853027,1.0
0.0100,bernoulli-active,652,2.1147103309631348,1.0
0.0100,bernoulli-active,653,2.9166226387023926,1.0
0.0100,bernoulli-active,654,1.835443377494812,1.0
0.0100,bernoulli-active,655,2.2517428398132324,1.0
0.0100,bernoulli-active,656,1.322026014328003,1.0
0.0100,bernoulli-active,657,1.638877272605896,1.0
0.0100,bernoulli-active,658,1.6621623039245605,1.0
0.0100,bernoulli-active,659,3.7414908409118652,1.0
0.0100,bernoulli-active,660,2.8892815113067627,1.0
0.0100,bernoulli-active,661,2.5663557052612305,1.0
0.0100,bernoulli-active,662,3.147491216659546,1.0
0.0100,bernoulli-active,663,2.1982038021087646,1.0
0.0100,bernoulli-active,664,2.838101387023926,1.0
0.0100,bernoulli-active,665,2.4893407821655273,1.0
0.0100,bernoulli-uniform,333,2.205761671066284,1.0
0.0100,bernoulli-uniform,334,3.4673972129821777,1.0
0.0100,bernoulli-uniform,335,2.762460947036743,1.0
0.0100,bernoulli-uniform,336,2.151930809020996,1.0
0.0100,bernoulli-uniform,337,2.5928444862365723,1.0
0.0100,bernoulli-uniform,338,1.8517851829528809,1.0
0.0100,bernoulli-uniform,339,5.5529093742370605,1.0
0.0100,bernoulli-uniform,340,1.3771315813064575,0.0
0.0100,bernoulli-uniform,341,1.929164171218872,1.0
0.0100,bernoulli-uniform,342,2.88313364982605,1.0
0.0100,bernoulli-uniform,343,3.571556806564331,1.0
0.0100,bernoulli-uniform,344,5.300246715545654,1.0
0.0100,bernoulli-uniform,345,1.9905873537063599,1.0
0.0100,bernoulli-uniform,346,3.148385524749756,1.0
0.0100,bernoulli-uniform,347,3.2623112201690674,1.0
0.0100,bernoulli-uniform,348,1.8490883111953735,1.0
0.0100,bernoulli-uniform,349,5.495904922485352,1.0
0.0100,bernoulli-uniform,350,12.375904083251953,1.0
0.0100,bernoulli-uniform,351,1.3931353092193604,0.0
0.0100,bernoulli-uniform,352,1.8280681371688843,1.0
0.0100,bernoulli-uniform,353,2.691227912902832,1.0
0.0100,bernoulli-uniform,354,2.8098392486572266,1.0
0.0100,bernoulli-uniform,355,6.639877796173096,1.0
0.0100,bernoulli-uniform,356,3.4635629653930664,1.0
0.0100,bernoulli-uniform,357,2.1540098190307617,1.0
0.0100,bernoulli-uniform,358,2.3597700595855713,1.0
0.0100,bernoulli-uniform,359,5.846051216125488,1.0
0.0100,bernoulli-uniform,360,2.1987555027008057,1.0
0.0100,bernoulli-uniform,361,2.8437602519989014,1.0
0.0100,bernoulli-uniform,362,2.2580952644348145,1.0
0.0100,bernoulli-uniform,363,2.894646644592285,1.0
0.0100,bernoulli-uniform,364,3.2779548168182373,1.0
0.0100,bernoulli-uniform,365,2.3284997940063477,1.0
0.0100,bernoulli-uniform,366,3.793025016784668,1.0
0.0100,bernoulli-uniform,367,3.20717191696167,1.0
