dataset,n_full_obs,mcar_obs_prob,prop_budget,tau,mean_width,mean_width_se,coverage,n_seeds
bbh+gpqa+ifeval+math+musr,0.0,0.01,0.275,0.75,0.02763107219710941,9.850236952679065e-07,0.9496066907775769,100
bbh+gpqa+ifeval+math+musr,0.0,0.01,0.3,0.05,0.02978010252118106,8.459526606894501e-06,0.9508273056057865,100
bbh+gpqa+ifeval+math+musr,0.0,0.01,0.3,0.25,0.026623581275343845,1.8004162930491549e-06,0.9498282097649187,100
bbh+gpqa+ifeval+math+musr,0.0,0.01,0.3,0.5,0.026064718402922106,1.1842749777926767e-06,0.9498146473779384,100
bbh+gpqa+ifeval+math+musr,0.0,0.01,0.3,0.75,0.025934971570968583,9.250162381664154e-07,0.9496428571428571,100
bbh+gpqa+ifeval+math+musr,0.0,0.01,0.325,0.05,0.02794009752571578,7.42574327097222e-06,0.9505379746835443,100
bbh+gpqa+ifeval+math+musr,0.0,0.01,0.325,0.25,0.025066538359969807,1.695204120184374e-06,0.9496880650994575,100
bbh+gpqa+ifeval+math+musr,0.0,0.01,0.325,0.5,0.024542208388447718,9.96278142906995e-07,0.9497694394213382,100
bbh+gpqa+ifeval+math+musr,0.0,0.01,0.325,0.75,0.024422985464334444,8.25788099680042e-07,0.95000904159132,100
bbh+gpqa+ifeval+math+musr,0.0,0.01,0.35,0.05,0.026319660209119276,6.825435856839924e-06,0.9511030741410488,100
bbh+gpqa+ifeval+math+musr,0.0,0.01,0.35,0.25,0.02366295356303449,1.579010146270127e-06,0.9498236889692585,100
bbh+gpqa+ifeval+math+musr,0.0,0.01,0.35,0.5,0.023166344128549045,9.859622490661786e-07,0.9496383363471971,100
bbh+gpqa+ifeval+math+musr,0.0,0.01,0.35,0.75,0.023055653069168278,8.326209875334086e-07,0.9492179023508137,100
bbh+gpqa+ifeval+math+musr,0.0,0.01,0.375,0.05,0.024823176991194438,6.977825895777197e-06,0.9509041591320071,100
bbh+gpqa+ifeval+math+musr,0.0,0.01,0.375,0.25,0.02237402306869621,1.4350178086220344e-06,0.9498282097649187,100
bbh+gpqa+ifeval+math+musr,0.0,0.01,0.375,0.5,0.02190449835732574,8.995251236632329e-07,0.9496021699819168,100
bbh+gpqa+ifeval+math+musr,0.0,0.01,0.375,0.75,0.021801373176276635,7.24918425220642e-07,0.9495976491862568,100
bbh+gpqa+ifeval+math+musr,0.0,0.01,0.4,0.05,0.0235083544440567,6.9841077872641355e-06,0.9505018083182639,100
bbh+gpqa+ifeval+math+musr,0.0,0.01,0.4,0.25,0.02120263649150724,1.4245982151687686e-06,0.9495524412296564,100
bbh+gpqa+ifeval+math+musr,0.0,0.01,0.4,0.5,0.02074990447610612,9.008875079085424e-07,0.9496518987341771,100
bbh+gpqa+ifeval+math+musr,0.0,0.01,0.4,0.75,0.020652469415217586,6.746742438675547e-07,0.9501627486437613,100
bbh+gpqa+ifeval+math+musr,0.0,0.01,0.425,0.05,0.0222205930948257,6.1253261476151176e-06,0.9503435804701627,100
bbh+gpqa+ifeval+math+musr,0.0,0.01,0.425,0.25,0.02011134944856162,1.3288235482869195e-06,0.9496609403254972,100
bbh+gpqa+ifeval+math+musr,0.0,0.01,0.425,0.5,0.01967843916267152,8.105624209309885e-07,0.9494981916817359,100
bbh+gpqa+ifeval+math+musr,0.0,0.01,0.425,0.75,0.01958686981350179,6.241242117905948e-07,0.9496835443037974,100
bbh+gpqa+ifeval+math+musr,0.0,0.01,0.45,0.05,0.02102388320490713,5.408033254805739e-06,0.9500497287522603,100
bbh+gpqa+ifeval+math+musr,0.0,0.01,0.45,0.25,0.019088370744138907,1.252097447443044e-06,0.9501582278481012,100
bbh+gpqa+ifeval+math+musr,0.0,0.01,0.45,0.5,0.018674337267875627,7.895133461582055e-07,0.9495343580470162,100
bbh+gpqa+ifeval+math+musr,0.0,0.01,0.45,0.75,0.018588180746883103,5.856259280255484e-07,0.9500135623869801,100
bbh+gpqa+ifeval+math+musr,0.0,0.01,0.475,0.05,0.01991789316758509,4.87708571852468e-06,0.9502396021699819,100
bbh+gpqa+ifeval+math+musr,0.0,0.01,0.475,0.25,0.01813516465947027,1.1339480059320736e-06,0.9495795660036166,100
bbh+gpqa+ifeval+math+musr,0.0,0.01,0.475,0.5,0.01773587778210635,7.125350108124337e-07,0.9501853526220614,100
bbh+gpqa+ifeval+math+musr,0.0,0.01,0.475,0.75,0.01765435086563225,5.607533669410993e-07,0.9497061482820977,100
bbh+gpqa+ifeval+math+musr,0.0,0.01,0.5,0.05,0.020186188314109992,6.551511344946221e-06,0.9512160940325497,100
bbh+gpqa+ifeval+math+musr,0.0,0.01,0.5,0.25,0.017358903903514095,1.206946990910057e-06,0.9500632911392404,100
bbh+gpqa+ifeval+math+musr,0.0,0.01,0.5,0.5,0.016867386624216985,7.244206840721294e-07,0.950262206148282,100
bbh+gpqa+ifeval+math+musr,0.0,0.01,0.5,0.75,0.016771538648754313,5.470577540632118e-07,0.9499276672694394,100
bbh+gpqa+ifeval+math+musr,,1.0,0.275,0.05,0.024973828103393273,1.3598664555438634e-05,0.9455560578661845,100
bbh+gpqa+ifeval+math+musr,,1.0,0.275,0.25,0.018787076212465715,3.109110741222748e-06,0.9483273056057865,100
bbh+gpqa+ifeval+math+musr,,1.0,0.275,0.5,0.017653123550116966,1.8395813747264948e-06,0.9488110307414104,100
bbh+gpqa+ifeval+math+musr,,1.0,0.275,0.75,0.01824864692986007,1.2506044469812891e-06,0.9491772151898733,100
bbh+gpqa+ifeval+math+musr,,1.0,0.3,0.05,0.02264564791694278,1.1821096824359512e-05,0.9456509945750452,100
bbh+gpqa+ifeval+math+musr,,1.0,0.3,0.25,0.01728359574452037,2.859644125024665e-06,0.9482323688969259,100
bbh+gpqa+ifeval+math+musr,,1.0,0.3,0.5,0.016340514849871347,1.4929118109129463e-06,0.9485533453887883,100
bbh+gpqa+ifeval+math+musr,,1.0,0.3,0.75,0.01698976872488851,1.1427335651778538e-06,0.9488969258589512,100
bbh+gpqa+ifeval+math+musr,,1.0,0.325,0.05,0.020717609878629396,1.0928763076466568e-05,0.9454294755877034,100
bbh+gpqa+ifeval+math+musr,,1.0,0.325,0.25,0.016000359933823302,2.28242576271209e-06,0.9479746835443038,100
bbh+gpqa+ifeval+math+musr,,1.0,0.325,0.5,0.015204129545018027,1.2208921647712303e-06,0.9485804701627487,100
bbh+gpqa+ifeval+math+musr,,1.0,0.325,0.75,0.01589034331962461,9.744307116228753e-07,0.9488245931283906,100
bbh+gpqa+ifeval+math+musr,,1.0,0.35,0.05,0.01908041864633555,9.73766557098562e-06,0.944633815551537,100
bbh+gpqa+ifeval+math+musr,,1.0,0.35,0.25,0.014890826689079357,2.4177271726393786e-06,0.9483996383363471,100
bbh+gpqa+ifeval+math+musr,,1.0,0.35,0.5,0.014213198991492345,1.1193863793003944e-06,0.9495343580470162,100
bbh+gpqa+ifeval+math+musr,,1.0,0.35,0.75,0.014920205231755922,8.303396341435853e-07,0.9498688969258589,100
bbh+gpqa+ifeval+math+musr,,1.0,0.375,0.05,0.017699368931353047,8.322948527961439e-06,0.9450135623869801,100
bbh+gpqa+ifeval+math+musr,,1.0,0.375,0.25,0.013922483855858396,2.004362486025891e-06,0.9486121157323688,100
bbh+gpqa+ifeval+math+musr,,1.0,0.375,0.5,0.013337501343339638,9.841663901199819e-07,0.9496699819168174,100
bbh+gpqa+ifeval+math+musr,,1.0,0.375,0.75,0.01405292171053584,7.08039155442072e-07,0.949009945750452,100
bbh+gpqa+ifeval+math+musr,,1.0,0.4,0.05,0.016587918959557964,7.725813324534716e-06,0.9442359855334539,100
bbh+gpqa+ifeval+math+musr,,1.0,0.4,0.25,0.013088918579742264,1.771557306116957e-06,0.9485895117540687,100
bbh+gpqa+ifeval+math+musr,,1.0,0.4,0.5,0.012570354025810906,8.95025105738963e-07,0.9491591320072332,100
bbh+gpqa+ifeval+math+musr,,1.0,0.4,0.75,0.01327749853022392,6.341858004986891e-07,0.9493037974683545,100
bbh+gpqa+ifeval+math+musr,,1.0,0.425,0.05,0.015632949406281068,7.5452849860249984e-06,0.9443264014466546,100
bbh+gpqa+ifeval+math+musr,,1.0,0.425,0.25,0.012362320767715523,1.6008352512053103e-06,0.9485307414104882,100
bbh+gpqa+ifeval+math+musr,,1.0,0.425,0.5,0.011886586658656549,7.898775993053941e-07,0.9498191681735986,100
bbh+gpqa+ifeval+math+musr,,1.0,0.425,0.75,0.012575500467792107,5.596203803343099e-07,0.9501989150090415,100
bbh+gpqa+ifeval+math+musr,,1.0,0.45,0.05,0.014851895058527543,6.6857728305866825e-06,0.9446428571428571,100
bbh+gpqa+ifeval+math+musr,,1.0,0.45,0.25,0.011726101972162672,1.4716415054275906e-06,0.9494168173598553,100
bbh+gpqa+ifeval+math+musr,,1.0,0.45,0.5,0.011272496813908173,7.027874816542733e-07,0.9498508137432188,100
bbh+gpqa+ifeval+math+musr,,1.0,0.45,0.75,0.011932312482967923,4.803848515458316e-07,0.9500858951175407,100
bbh+gpqa+ifeval+math+musr,,1.0,0.475,0.05,0.014180371910333585,6.513108150746886e-06,0.9440370705244122,100
bbh+gpqa+ifeval+math+musr,,1.0,0.475,0.25,0.01116258504800493,1.4568652326299164e-06,0.9489285714285713,100
bbh+gpqa+ifeval+math+musr,,1.0,0.475,0.5,0.010719822337850881,6.499971298683684e-07,0.9498010849909584,100
