dataset,prop_budget,seed,mean_width,coverage
mmlu-pro,0.425,0,0.011725635267794132,0.9521012200632626
mmlu-pro,0.425,1,0.011726555414497852,0.9453230908269318
mmlu-pro,0.425,2,0.011721635237336159,0.9453230908269318
mmlu-pro,0.425,3,0.011690078303217888,0.9412562132851333
mmlu-pro,0.425,4,0.011712644249200821,0.9521012200632626
mmlu-pro,0.425,5,0.011716693639755249,0.9421599638499775
mmlu-pro,0.425,6,0.011734070256352425,0.9511974694984184
mmlu-pro,0.425,7,0.011691664345562458,0.9421599638499775
mmlu-pro,0.425,8,0.011704972945153713,0.947582467239042
mmlu-pro,0.425,9,0.011700568720698357,0.9534568459105287
mmlu-pro,0.425,10,0.01171138696372509,0.9539087211929508
mmlu-pro,0.425,11,0.011700489558279514,0.9453230908269318
mmlu-pro,0.425,12,0.011725638061761856,0.9507455942159965
mmlu-pro,0.425,13,0.011709028854966164,0.9426118391323995
mmlu-pro,0.425,14,0.01173260249197483,0.9498418436511523
mmlu-pro,0.425,15,0.01172894611954689,0.9530049706281066
mmlu-pro,0.425,16,0.011689568869769573,0.947582467239042
mmlu-pro,0.425,17,0.011729732155799866,0.9530049706281066
mmlu-pro,0.425,18,0.011708389036357403,0.9371893357433349
mmlu-pro,0.425,19,0.011719980277121067,0.955716222322639
mmlu-pro,0.425,20,0.0117273461073637,0.9575237234523272
mmlu-pro,0.425,21,0.011698479764163494,0.9502937189335744
mmlu-pro,0.425,22,0.01171247847378254,0.9498418436511523
mmlu-pro,0.425,23,0.011735640466213226,0.9498418436511523
mmlu-pro,0.425,24,0.011730565689504147,0.94713059195662
mmlu-pro,0.425,25,0.011716910637915134,0.9543605964753729
mmlu-pro,0.425,26,0.011724505573511124,0.9435155896972436
mmlu-pro,0.425,27,0.01172569114714861,0.9480343425214641
mmlu-pro,0.425,28,0.011705690063536167,0.9502937189335744
mmlu-pro,0.425,29,0.011733658611774445,0.9489380930863082
mmlu-pro,0.425,30,0.011718851514160633,0.9457749661093539
mmlu-pro,0.425,31,0.011714097112417221,0.9489380930863082
mmlu-pro,0.425,32,0.011738138273358345,0.9534568459105287
bbh+gpqa+ifeval+math+musr,0.275,0,0.02058401331305504,0.9543399638336347
bbh+gpqa+ifeval+math+musr,0.275,1,0.0205080509185791,0.9471066907775768
bbh+gpqa+ifeval+math+musr,0.275,2,0.02055630087852478,0.9452983725135623
bbh+gpqa+ifeval+math+musr,0.275,3,0.02055123634636402,0.9462025316455696
bbh+gpqa+ifeval+math+musr,0.275,4,0.020556597039103508,0.9525316455696202
