lb,ub,interval width,coverage,estimator,$n_b$
0.0017713774,0.046492927,0.04472155,0,faq (simp var),4561
-0.033575103,0.008701508,0.04227661,1,faq (full var),4561
-0.033576086,0.008702491,0.042278577,1,faq (simp var),4561
-0.016382497,0.028257415,0.04463991,1,faq (full var),4561
-0.016383644,0.028258562,0.044642206,1,faq (simp var),4561
-0.032747954,0.009175605,0.04192356,1,faq (full var),4561
-0.03275058,0.00917823,0.04192881,1,faq (simp var),4561
-0.029444208,0.013956001,0.04340021,1,faq (full var),4561
-0.029449247,0.0139610395,0.043410286,1,faq (simp var),4561
-0.022182664,0.020929089,0.043111753,1,faq (full var),4561
-0.022182774,0.020929199,0.043111973,1,faq (simp var),4561
-0.013008544,0.030362764,0.04337131,1,faq (full var),4561
-0.013008593,0.030362813,0.043371405,1,faq (simp var),4561
-0.032506146,0.009516476,0.042022623,1,faq (full var),4561
-0.032512985,0.009523312,0.042036295,1,faq (simp var),4561
-0.03007022,0.01093305,0.04100327,1,faq (full var),4561
-0.03007412,0.01093695,0.04101107,1,faq (simp var),4561
-0.009042678,0.03418567,0.04322835,1,faq (full var),4561
-0.009048944,0.034191936,0.043240882,1,faq (simp var),4561
0.0017021839,0.04799074,0.046288557,0,faq (full var),4561
0.0016945247,0.0479984,0.046303876,0,faq (simp var),4561
-0.003681073,0.04502859,0.04870966,1,faq (full var),4561
-0.003689522,0.04503704,0.04872656,1,faq (simp var),4561
-0.033083096,0.0078127645,0.04089586,1,faq (full var),4561
-0.03308831,0.007817982,0.040906295,1,faq (simp var),4561
-0.03510714,0.0072997883,0.042406928,1,faq (full var),4561
-0.035116345,0.0073089916,0.042425334,1,faq (simp var),4561
-0.03981289,-0.0028452724,0.036967617,0,faq (full var),4561
-0.039835103,-0.0028230567,0.037012048,0,faq (simp var),4561
-0.0149696,0.029203804,0.044173405,1,faq (full var),4561
-0.014969705,0.029203909,0.044173613,1,faq (simp var),4561
0.00969203,0.05847042,0.048778392,0,faq (full var),4561
0.009683458,0.05847899,0.04879553,0,faq (simp var),4561
-0.024013106,0.01809483,0.042107936,1,faq (full var),4561
-0.024013976,0.0180957,0.042109676,1,faq (simp var),4561
-0.019832784,0.021694856,0.04152764,1,faq (full var),4561
-0.019833134,0.021695206,0.04152834,1,faq (simp var),4561
-0.050611667,-0.011846919,0.03876475,0,faq (full var),4561
-0.050649434,-0.0118091535,0.03884028,0,faq (simp var),4561
-0.024449084,0.019840177,0.04428926,1,faq (full var),4561
-0.024449145,0.019840239,0.044289384,1,faq (simp var),4561
-0.02450559,0.01884463,0.04335022,1,faq (full var),4561
-0.02450589,0.018844932,0.043350823,1,faq (simp var),4561
-0.036147144,0.007930831,0.044077974,1,faq (full var),4561
-0.03614778,0.007931468,0.044079248,1,faq (simp var),4561
-0.016691072,0.026398094,0.043089166,1,faq (full var),4561
-0.01669109,0.026398113,0.043089204,1,faq (simp var),4561
